H,S,V,class
58,160,137,verde
58,159,136,verde
58,161,138,verde
57,161,136,verde
57,162,137,verde
57,161,138,verde
57,160,137,verde
58,162,137,verde
58,159,135,verde
58,161,136,verde
57,158,137,verde
56,161,139,verde
56,161,138,verde
57,159,136,verde
58,158,137,verde
58,159,138,verde
58,161,135,verde
57,161,135,verde
58,158,134,verde
57,163,138,verde
57,158,136,verde
57,159,138,verde
58,160,134,verde
57,163,136,verde
57,159,135,verde
57,164,137,verde
57,162,135,verde
57,158,134,verde
58,163,138,verde
57,159,133,verde
57,158,132,verde
57,161,139,verde
57,157,133,verde
57,157,135,verde
57,160,134,verde
57,163,139,verde
58,158,136,verde
56,164,137,verde
56,163,136,verde
56,159,136,verde
58,157,133,verde
56,161,135,verde
57,164,138,verde
56,164,138,verde
58,157,135,verde
58,156,137,verde
58,156,136,verde
58,155,135,verde
57,156,134,verde
57,162,140,verde
57,160,140,verde
58,156,132,verde
57,160,139,verde
57,161,141,verde
58,161,139,verde
57,165,139,verde
57,166,140,verde
57,167,139,verde
57,164,140,verde
57,156,132,verde
57,162,142,verde
57,162,134,verde
58,158,132,verde
58,161,133,verde
57,166,138,verde
57,165,141,verde
57,166,141,verde
58,163,136,verde
57,164,134,verde
57,166,137,verde
57,165,142,verde
57,163,141,verde
57,164,143,verde
56,163,138,verde
57,167,136,verde
57,166,135,verde
57,164,135,verde
57,168,138,verde
56,166,141,verde
56,164,140,verde
57,160,132,verde
57,168,141,verde
56,160,134,verde
56,162,134,verde
57,161,133,verde
57,165,136,verde
56,167,136,verde
56,162,137,verde
56,163,139,verde
57,163,142,verde
57,156,137,verde
56,158,137,verde
57,158,131,verde
57,157,138,verde
58,160,139,verde
58,157,138,verde
58,156,129,verde
58,164,137,verde
58,162,135,verde
57,155,130,verde
57,168,140,verde
56,165,139,verde
56,166,137,verde
56,165,136,verde
58,154,134,verde
58,156,134,verde
56,166,138,verde
56,168,140,verde
58,162,134,verde
56,166,140,verde
56,167,139,verde
57,158,139,verde
57,158,140,verde
58,155,132,verde
56,164,135,verde
57,155,135,verde
58,158,139,verde
57,157,130,verde
58,159,133,verde
58,158,131,verde
56,165,141,verde
58,156,131,verde
56,164,134,verde
57,168,137,verde
57,167,142,verde
56,168,143,verde
56,168,141,verde
58,164,138,verde
56,169,142,verde
56,165,142,verde
56,166,143,verde
57,156,131,verde
57,166,143,verde
57,163,133,verde
58,157,130,verde
57,159,141,verde
56,168,138,verde
56,168,137,verde
56,169,140,verde
56,169,139,verde
56,170,141,verde
57,169,139,verde
57,168,143,verde
56,167,142,verde
56,173,143,verde
57,169,140,verde
56,171,143,verde
56,172,141,verde
56,171,140,verde
56,171,142,verde
57,169,143,verde
57,155,133,verde
57,157,128,verde
57,169,136,verde
57,166,134,verde
57,160,131,verde
57,156,129,verde
57,159,130,verde
57,161,130,verde
56,161,133,verde
57,158,129,verde
56,162,140,verde
56,163,142,verde
57,162,143,verde
56,164,143,verde
57,166,144,verde
56,166,144,verde
56,163,133,verde
57,171,142,verde
56,168,144,verde
57,165,144,verde
57,168,144,verde
57,170,144,verde
56,170,144,verde
58,163,139,verde
58,160,140,verde
57,154,129,verde
56,159,135,verde
56,163,141,verde
56,162,135,verde
56,161,136,verde
56,160,132,verde
58,158,140,verde
58,155,133,verde
58,160,131,verde
58,162,140,verde
57,162,132,verde
58,157,128,verde
