H,S,V,class
30,38,254,branco
28,37,255,branco
29,34,255,branco
29,33,251,branco
30,23,255,branco
30,17,255,branco
34,14,253,branco
30,11,255,branco
35,11,253,branco
28,38,255,branco
26,33,255,branco
30,24,254,branco
35,19,255,branco
39,14,255,branco
33,10,255,branco
30,8,253,brancoH,S,V,class
55,146,183,verde
53,142,183,verde
53,150,179,verde
53,152,178,verde
54,153,182,verde
54,151,184,verde
54,150,185,verde
53,148,183,verde
53,148,181,verde
54,137,179,verde
53,137,181,verde
53,137,183,verde
53,139,183,verde
53,149,180,verde
53,151,183,verde
53,150,184,verde
53,146,183,verde
53,147,182,verde
54,147,179,verde
54,150,175,verde
57,140,177,verde
57,136,178,verde
57,135,178,verde
55,134,181,verde
54,135,182,verde
30,8,254,branco
25,6,255,branco
30,5,255,branco
36,5,254,branco
30,2,253,branco
30,2,255,branco
90,1,255,branco
83,4,255,branco
83,8,255,branco
79,11,255,branco
81,14,255,branco
26,40,252,branco
27,30,255,branco
30,19,255,branco
33,11,255,branco
51,7,253,branco
35,6,255,branco
25,6,254,branco
24,5,254,branco
30,4,255,branco
30,4,255,branco
24,5,254,branco
20,3,254,branco
30,2,255,branco
0,0,254,branco
83,4,255,branco
84,5,255,branco
81,10,255,branco
84,15,255,branco
28,31,255,branco
29,22,255,branco
35,13,255,branco
38,8,255,branco
35,6,255,branco
25,6,254,branco
25,6,254,branco
30,5,255,branco
30,4,255,branco
24,5,255,branco
20,3,254,branco
20,3,255,branco
0,0,255,branco
75,2,255,branco
90,3,255,branco
83,8,255,branco
80,12,253,branco
82,15,255,branco
29,32,255,branco
30,24,253,branco
35,17,254,branco
33,9,255,branco
34,8,255,branco
25,6,254,branco
25,6,254,branco
25,6,255,branco
24,5,255,branco
24,5,254,branco
20,3,254,branco
20,3,255,branco
0,0,255,branco
0,0,253,branco
83,4,255,branco
86,7,255,branco
81,10,255,branco
83,13,255,branco
29,33,255,branco
30,24,255,branco
35,19,253,branco
37,13,255,branco
35,11,255,branco
34,8,254,branco
35,6,254,branco
35,6,255,branco
24,5,255,branco
24,5,254,branco
24,5,254,branco
24,5,254,branco
30,2,255,branco
30,2,253,branco
75,2,255,branco
90,4,255,branco
83,8,255,branco
87,9,255,branco
28,39,255,branco
30,28,255,branco
35,23,253,branco
37,17,255,branco
35,11,255,branco
34,8,254,branco
35,6,254,branco
35,6,255,branco
24,5,254,branco
24,5,254,branco
24,5,254,branco
24,5,253,branco
30,2,255,branco
20,3,255,branco
0,0,255,branco
90,3,255,branco
80,9,254,branco
81,10,255,branco
85,12,255,branco
30,31,255,branco
33,24,252,branco
35,19,255,branco
35,13,255,branco
34,8,254,branco
34,8,255,branco
34,8,255,branco
25,6,254,branco
25,6,254,branco
24,5,254,branco
24,5,253,branco
15,2,255,branco
30,2,255,branco
30,2,255,branco
50,3,255,branco
70,6,252,branco
73,9,255,branco
77,9,255,branco
30,32,255,branco
33,29,255,branco
34,21,254,branco
35,13,255,branco
34,8,255,branco
34,8,255,branco
34,8,255,branco
25,6,255,branco
25,6,255,branco
24,5,254,branco
24,5,253,branco
10,3,255,branco
8,4,255,branco
20,3,255,branco
30,2,254,branco
66,5,254,branco
75,4,255,branco
80,6,255,branco
28,37,255,branco
31,31,254,branco
31,21,255,branco
34,14,254,branco
35,11,255,branco
34,8,254,branco
34,8,255,branco
30,8,255,branco
30,8,254,branco
21,7,255,branco
19,8,255,branco
15,6,255,branco
15,6,255,branco
24,5,254,branco
36,5,255,branco
42,5,255,branco
54,5,255,branco
70,6,254,branco
68,11,255,branco
29,40,254,branco
29,32,253,branco
30,24,255,branco
32,16,254,branco
