H,S,V,class
120,3,243,branco
120,2,243,branco
120,1,242,branco
120,3,243,branco
130,3,243,branco
110,3,243,branco
105,2,242,branco
105,2,242,branco
130,3,243,branco
138,5,244,branco
138,5,244,branco
130,3,243,branco
58,29,225,branco
68,4,241,branco
120,3,243,branco
110,3,243,branco
135,4,244,branco
130,3,243,branco
105,2,242,branco
90,1,241,branco
130,3,243,branco
138,5,244,branco
140,6,244,branco
130,3,243,branco
62,17,236,branco
105,2,241,branco
138,5,244,branco
100,3,242,branco
130,3,243,branco
128,4,244,branco
105,2,242,branco
80,3,242,branco
105,2,242,branco
135,4,244,branco
140,6,244,branco
105,2,242,branco
65,6,240,branco
60,14,240,branco
130,3,242,branco
140,6,245,branco
120,2,242,branco
105,2,242,branco
135,4,244,branco
80,3,242,branco
72,5,242,branco
80,3,242,branco
138,5,244,branco
140,6,244,branco
120,3,242,branco
63,12,242,branco
110,3,241,branco
135,4,244,branco
135,4,243,branco
105,2,242,branco
130,3,243,branco
105,2,242,branco
75,4,242,branco
70,3,242,branco
128,4,244,branco
140,6,244,branco
120,3,242,branco
62,17,239,branco
110,3,243,branco
130,3,243,branco
120,3,243,branco
110,3,243,branco
130,3,243,branco
110,3,243,branco
70,3,242,branco
80,3,242,branco
120,3,243,branco
135,6,245,branco
90,4,241,branco
60,23,233,branco
128,4,244,branco
130,3,243,branco
105,2,242,branco
110,3,243,branco
130,3,243,branco
120,2,243,branco
90,2,241,branco
105,2,242,branco
130,3,243,branco
128,4,244,branco
83,4,241,branco
60,22,235,branco
120,1,242,branco
130,3,243,branco
105,2,242,branco
110,3,243,branco
130,3,243,branco
110,3,243,branco
105,2,242,branco
105,2,242,branco
128,4,244,branco
128,4,244,branco
90,3,240,branco
60,25,230,branco
58,94,166,branco
120,1,242,branco
130,3,243,branco
130,3,243,branco
135,2,242,branco
105,2,242,branco
105,2,242,branco
135,4,244,branco
145,6,244,branco
140,3,243,branco
72,5,241,branco
57,38,224,branco
57,83,175,branco
130,3,243,branco
140,3,243,branco
120,1,242,branco
90,1,241,branco
70,3,242,branco
70,3,242,branco
105,2,242,branco
130,3,243,branco
105,2,242,branco
64,8,243,branco
57,39,229,branco
58,73,185,branco
135,4,244,branco
135,4,244,branco
120,2,242,branco
80,3,241,branco
68,4,242,branco
105,2,242,branco
130,3,243,branco
140,3,243,branco
105,2,242,branco
70,6,242,branco
60,18,235,branco
57,43,203,branco
130,3,243,branco
130,3,243,branco
105,2,242,branco
90,2,241,branco
90,2,241,branco
130,3,243,branco
138,5,244,branco
138,5,244,branco
130,3,243,branco
105,2,242,branco
68,4,241,branco
60,14,231,branco
100,3,242,branco
105,2,242,branco
105,2,242,branco
105,2,242,branco
110,3,243,branco
128,4,244,branco
130,3,243,branco
110,3,243,branco
105,2,242,branco
90,2,241,branco
90,2,241,branco
90,1,241,branco
100,3,242,branco
100,3,242,branco
100,3,242,branco
120,2,242,branco
120,3,243,branco
120,3,243,branco
90,2,241,branco
80,3,241,branco
68,4,242,branco
68,4,242,branco
75,2,241,branco
135,2,242,branco
120,3,243,branco
130,3,243,branco
105,2,242,branco
100,3,242,branco
